cites,authors,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,title_clean,doi_clean
57,"J Moilanen, A Daly, R Lobato, DWE Allen",Cultures of sharing in 3D printing: what can we learn from the licence choices of Thingiverse users?,2014.0,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2440027,https://scholar.google.com/scholar?cites=2922576834304814253&as_sdt=2005&sciodt=2007&hl=en,478,8/22/24 10:20,,,,,,,,,57,5.7,14,4,10.0,"… and did not follow the principles of open hardware. – ie that the ‘… The open hardware movement can be conceptualised as an … To this end, in 2013 we conducted an empirical analysis of …",https://eprints.qut.edu.au/95070/21/Cultures_of_sharing_in_3D_printing_what_can_we_learn_from_the_licence_choices_o.pdf,https://scholar.google.com/scholar?q=related:rSyGdSUUjygJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,cultures of sharing in 3d printing: what can we learn from the licence choices of thingiverse users?,
53,Joshua M. Pearce,Laboratory equipment: Cut costs with open-source hardware,2014.0,,,,,93,8/22/24 15:04,,10.1038/505618d,,,,,,,53,5.3,53,1,10.0,,,,laboratory equipment: cut costs with open-source hardware,10.1038/505618d
52,Joshua M. Pearce,Cut costs with open-source hardware,2014.0,Nature,Springer Science and Business Media LLC,http://dx.doi.org/10.1038/505618d,,85,8/22/24 15:14,journal-article,10.1038/505618d,0028-0836,,505.0,7485.0,618.0,618.0,52,5.2,52,1,10.0,,https://www.nature.com/articles/505618d.pdf,,cut costs with open-source hardware,10.1038/505618d
51,"Angel Soriano, Leonardo Marín, M. Vallés, Á. Valera, P. Albertos",Low Cost Platform for Automatic Control Education Based on Open Hardware.,2014.0,,,,,366,8/22/24 15:04,,10.3182/20140824-6-ZA-1003.01909,,,,,,,51,5.1,10,5,10.0,"Abstract Automatic control, as well as the introduction to programming, are subjects increasingly being taught to young engineering students. For this reason the availability of a suitable platform for the laboratory work becomes a critical decision, in order to promote students' motivation to experience the theoretical concepts studied in the classroom. Until recently, the only option to perform laboratory work in this kind of subjects was to use closed platforms commercially available but today, thanks to advances in technology, many open hardware options supporting standard and intuitive programming languages are available. In order to provide a multidisciplinary low cost open platform for the automatic control introductory courses, an example of open-source educational platform easily programmable composed by a differential mobile robot with a robotic arm manipulator is presented in this paper.",,,low cost platform for automatic control education based on open hardware.,10.3182/20140824-6-za-1003.01909
51,"E. T. Costa, M. Mora, P. Willis, Claudimir L. Lago, H. Jiao, Carlos D. Garcia",Getting started with open‐hardware: Development and control of microfluidic devices,2014.0,,,,,369,8/22/24 15:04,,10.1002/elps.201400128,,,,,,,51,5.1,9,6,10.0,"Understanding basic concepts of electronics and computer programming allows researchers to get the most out of the equipment found in their laboratories. Although a number of platforms have been specifically designed for the general public and are supported by a vast array of on‐line tutorials, this subject is not normally included in university chemistry curricula. Aiming to provide the basic concepts of hardware and software, this article is focused on the design and use of a simple module to control a series of PDMS‐based valves. The module is based on a low‐cost microprocessor (Teensy) and open‐source software (Arduino). The microvalves were fabricated using thin sheets of PDMS and patterned using CO2 laser engraving, providing a simple and efficient way to fabricate devices without the traditional photolithographic process or facilities. Synchronization of valve control enabled the development of two simple devices to perform injection (1.6 ± 0.4 μL/stroke) and mixing of different solutions. Furthermore, a practical demonstration of the utility of this system for microscale chemical sample handling and analysis was achieved performing an on‐chip acid–base titration, followed by conductivity detection with an open‐source low‐cost detection system. Overall, the system provided a very reproducible (98%) platform to perform fluid delivery at the microfluidic scale.",,,getting started with open‐hardware: development and control of microfluidic devices,10.1002/elps.201400128
48,"Eric Tavares da Costa, Maria F. Mora, Peter A. Willis, Claudimir L. do Lago, Hong Jiao, Carlos D. Garcia",Getting started with open-hardware: Development and control of microfluidic devices,2014.0,Electrophoresis,Wiley,,,48,8/22/24 16:58,Article,10.1002/elps.201400128,0173-0835,,35.0,16.0,2370.0,2377.0,48,4.8,8,6,10.0,"Understanding basic concepts of electronics and computer programming allows researchers to get the most out of the equipment found in their laboratories. Although a number of platforms have been specifically designed for the general public and are supported by a vast array of on-line tutorials, this subject is not normally included in university chemistry curricula. Aiming to provide the basic concepts of hardware and software, this article is focused on the design and use of a simple module to control a series of PDMS-based valves. The module is based on a low-cost microprocessor (Teensy) and open-source software (Arduino). The microvalves were fabricated using thin sheets of PDMS and patterned using CO2 laser engraving, providing a simple and efficient way to fabricate devices without the traditional photolithographic process or facilities. Synchronization of valve control enabled the development of two simple devices to perform injection (1.6 +/- 0.4 mu L/stroke) and mixing of different solutions. Furthermore, a practical demonstration of the utility of this system for microscale chemical sample handling and analysis was achieved performing an on-chip acid-base titration, followed by conductivity detection with an open-source low-cost detection system. Overall, the system provided a very reproducible (98%) platform to perform fluid delivery at the microfluidic scale.",,,getting started with open-hardware: development and control of microfluidic devices,10.1002/elps.201400128
38,A. Soriano,Low cost platform for automatic control education based on open hardware,2014.0,IFAC Proceedings Volumes (IFAC-PapersOnline),,https://api.elsevier.com/content/article/eid/1-s2.0-S1474667016430417,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929783006&origin=inward,116,8/22/24 16:58,Conference Paper,10.3182/20140824-6-za-1003.01909,1474-6670,https://api.elsevier.com/content/abstract/scopus_id/84929783006,19.0,,9044.0,9050.0,38,3.8,38,1,10.0,,,,low cost platform for automatic control education based on open hardware,10.3182/20140824-6-za-1003.01909
31,"Usama Iqbal, A. Samad, Z. Nissa, J. Iqbal",EMBEDDED CONTROL SYSTEM FOR AUTAREP-A NOVEL AUTONOMOUS ARTICULATED ROBOTIC EDUCATIONAL PLATFORM,2014.0,,,,,792,8/22/24 15:04,,,,,,,,,31,3.1,8,4,10.0,"Original scientific paper This research introduces an open-source framework, AUTonomous Articulated Robotic Educational Platform (AUTAREP). The platform is centred on a 6 Degree Of Freedom (DOF) arm with multiple feedbacks to ensure precision and autonomy. The sensory system consists of vision, position and force feedbacks while the actuation system comprises six precise DC servo motors. In particular, this paper presents the design of an embedded controller for AUTAREP. The proposed design of the control hardware and software interface has been tailored as per academic requirements of relevant undergraduate and postgraduate courses. Low level commands have been provided to permit readily development of applications for trainees. Advanced users can further exploit the open-source architecture of the platform. The performance of the proposed control system has been demonstrated by various experiments on the fabricated hardware. The control has been subjected to various test inputs to analyse its transient and steady state behaviour. The robot has been tested to achieve a set-point position successfully and the encoder data corresponding to all the joints has been recorded. Finally, a common application of ""pick and place"" has been implemented. The proposed platform is potentially beneficial in teaching engineering courses, training in industrial sector and research of advanced algorithms.",,,embedded control system for autarep-a novel autonomous articulated robotic educational platform,
28,"J Guerreiro, A Lourenço, H Silva, A Fred",Performance comparison of low-cost hardware platforms targeting physiological computing applications,2014.0,Procedia Technology,Elsevier,https://www.sciencedirect.com/science/article/pii/S221201731400440X,https://scholar.google.com/scholar?cites=13758480599468986240&as_sdt=2005&sciodt=2007&hl=en,456,8/22/24 10:20,,,,,,,,,28,2.8,7,4,10.0,"… The most recent trends in low-cost and open-source hardware are playing a transforming … First, we defined an amplitude interval by establishing empirical thresholds (thdmin = 150 and …",https://www.sciencedirect.com/science/article/pii/S221201731400440X/pdf?md5=9dcfcebdb7567740f0c0d60fbe35caf0&pid=1-s2.0-S221201731400440X-main.pdf&_valck=1,https://scholar.google.com/scholar?q=related:gM9zrDXx774J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,performance comparison of low-cost hardware platforms targeting physiological computing applications,
17,"J West, G Kuk",Proprietary benefits from open communities: how makerBot Leveraged Thingiverse in 3D Printing,2014.0,Available at SSRN 2544970,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2544970,https://scholar.google.com/scholar?cites=4738779597964551265&as_sdt=2005&sciodt=2007&hl=en,96,8/22/24 10:20,,,,,,,,,17,1.7,9,2,10.0,"… by open hardware. Here we study 3D printing, and how MakerBot Industries leveraged open hardware … user communities, open hardware design and partly open platform strategies. …",,https://scholar.google.com/scholar?q=related:YaSL7e-Gw0EJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,proprietary benefits from open communities: how makerbot leveraged thingiverse in 3d printing,
15,"YF Solahuddin, W Ismail",Data fusion for reducing power consumption in Arduino-Xbee wireless sensor network platform,2014.0,2014 international conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6868379/,https://scholar.google.com/scholar?cites=15350966695148199681&as_sdt=2005&sciodt=2007&hl=en,463,8/22/24 10:20,,,,,,,,,15,1.5,8,2,10.0,… Usage of buffer in conjunction with LDD is also explored and empirical results are shown based … Arduino is an open-source hardware prototyping platform based on the Atmel Atmega …,https://ieeexplore.ieee.org/iel7/6862739/6868339/06868379.pdf,https://scholar.google.com/scholar?q=related:AR8pV-CWCdUJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,data fusion for reducing power consumption in arduino-xbee wireless sensor network platform,
13,"Parnian Najafi Borazjani, C. E. Everett, G. Mason, Damon McCoy",OCTANE: An Extensible Open Source Car Security Testbed,2014.0,,,,,344,8/22/24 15:04,,,,,,,,,13,1.3,3,4,10.0,"Security research and training using cyber-physical systems (e.g., automotive networks) is challenging because of the need to replicate the interactions between the hardware components and the control software of the systems. These interactions are challenging to replicate due to dynamic inputs in real-world environments that cause various interactions of hardware components and control software within the network. In particular, automotive networks are challenging for security research and training because although the protocols of the automotive networks are standardized (e.g., CAN, LIN), the implementation details by each automotive manufacturer are not standardized and are generally not publicly available. In this paper, we present OCTANE, which reduces the barrier of entry into the security research and training of automotive networks by providing a software package and a hardware framework for the reverse engineering and testing of automotive networks. OCTANE provides a platform for security research and training by replicating the interactions between the hardware components and control software of the systems so that the user can focus on the security aspects of the automotive network instead of the tool configuration and setup. In addition, OCTANE includes security focused features, such as the ability to replay and fuzz test different automotive network protocols. OCTANE will be released as an open source tool, which will enable the automotive security community to extend this tool to support future automotive protocols.",,,octane: an extensible open source car security testbed,
13,"Q Liu, X Li, W Xu, D Zhang",Empirical analysis of ZigBee and WiFi coexistence,2014.0,Proceedings of the 2014 …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6912681/,https://scholar.google.com/scholar?cites=996724573712561803&as_sdt=2005&sciodt=2007&hl=en,149,8/22/24 10:20,,,,,,,,,13,1.3,3,4,10.0,"… USRP is an open-source hardware project, usually consists of a motherboard and up to tied-in four daughterboards. The motherboard completes the intermediate frequency sampling …",https://ieeexplore.ieee.org/iel7/6899290/6912653/06912681.pdf,https://scholar.google.com/scholar?q=related:izYKC7gT1Q0J:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,empirical analysis of zigbee and wifi coexistence,
12,"Q Guo, T Chen, Y Chen, R Wang, ...",Pre-silicon bug forecast,2014.0,… on Computer-Aided …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6740024/,https://scholar.google.com/scholar?cites=16277875802252451714&as_sdt=2005&sciodt=2007&hl=en,314,8/22/24 10:20,,,,,,,,,12,1.2,2,5,10.0,"… , we conducted detailed experiments on several open-source hardware projects. Moreover, we … Empirical Evaluation In this section, we evaluate the effectiveness of the presilicon bug …",https://ieeexplore.ieee.org/iel7/43/6740003/06740024.pdf,https://scholar.google.com/scholar?q=related:gh8vW8yh5uEJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,pre-silicon bug forecast,
11,"BW Ramsey, BE Mullins, WM Lowder, ...",Sharpening the stinger: Tuning KillerBee for critical infrastructure warwalking,2014.0,2014 IEEE Military …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6956745/,https://scholar.google.com/scholar?cites=1224546016228038576&as_sdt=2005&sciodt=2007&hl=en,215,8/22/24 10:20,,,,,,,,,11,1.1,3,4,10.0,… The first empirical evaluation of zbfind [11] reveals that its log-… Empirical evaluation of warwalking tools requires real-world … transceiver found in open source hardware such as TelosB …,https://ieeexplore.ieee.org/iel7/6954705/6956719/06956745.pdf,https://scholar.google.com/scholar?q=related:sFdkJB12_hAJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,sharpening the stinger: tuning killerbee for critical infrastructure warwalking,
8,"F. J. Jimenez, F. R. Lara, M. D. Redel",API for communication Between Labview and Arduino UNO,2014.0,Ieee Latin America Transactions,Ieee-Inst Electrical Electronics Engineers Inc,,,311,8/22/24 16:58,Article,,1548-0992,,12.0,6.0,971.0,976.0,8,0.8,3,3,10.0,"This paper presents an API for communication between Arduino and labview platforms, proposing a flexible structure for programming both to serve as a template for any project you want to undertake and optimizing the time of development of these. Proposes the use of the Arduino UNO platform, this being open-hardware and low cost, being its open-source development software and free. Projects that can be addressed with the proposed structure can be of various kinds, data acquisition, control, hardware in loop, process monitoring, rapid prototyping, both for education and in research.",,,api for communication between labview and arduino uno,
4,M Marrali,Filling the gap: Evaluating which legal mechanisms effectively protect freedom and openness in hardware,2014.0,University of Groningen Digital Archive,arno.uvt.nl,http://arno.uvt.nl/show.cgi?fid=134977,https://scholar.google.com/scholar?cites=3843949184460748742&as_sdt=2005&sciodt=2007&hl=en,43,8/22/24 10:20,PDF,,,,,,,,4,0.4,4,1,10.0,"… be straightforward, and because of this issue the main research question is “What are the legal instruments that can be used to protect the rights and freedoms of open source hardware …",http://arno.uvt.nl/show.cgi?fid=134977,https://scholar.google.com/scholar?q=related:xndvympzWDUJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,filling the gap: evaluating which legal mechanisms effectively protect freedom and openness in hardware,
3,"G. F. Perez Paina, G. Araguas, D. A. Gaydou, G. M. Steiner, L. R. Canali","RoMAA-II, an Open Architecture Mobile Robot",2014.0,Ieee Latin America Transactions,Ieee-Inst Electrical Electronics Engineers Inc,,,505,8/22/24 16:58,Article,,1548-0992,,12.0,5.0,915.0,921.0,3,0.3,1,5,10.0,"The aim of designing and developing an open architecture mobile robot called RoMAA (in accordance with its name in Spanish) arises from the necessity to have a vehicle suitable for carrying out different experiments in the robotics research field. This vehicle has to have the ability to be easily adapted to different experiments in the research field of mobile robotics and computer vision. The present paper describes in detail the development of the final version of the robot -RoMAA-II- as an improvement of the original version RoMAA. The different parts that compose the robot are described which include the electromechanical components, the onboard embedded system, along with the high level software running in the on-board computer; together with the description of its more relevant characteristics. Nowadays, four fully operational RoMAA-II robots are available in the CIII, which are regularly used for experiments of different research projects.",,,"romaa-ii, an open architecture mobile robot",
3,ALJM Jaspers,Understanding the Motivations of Open-Soutce Hardware Developers: Insights from the Arduino Community,2014.0,,search.proquest.com,https://search.proquest.com/openview/18b29e763962ea8dda5b80b64f67c410/1?pq-origsite=gscholar&cbl=2026366&diss=y,https://scholar.google.com/scholar?cites=3735804491003262116&as_sdt=2005&sciodt=2007&hl=en,250,8/22/24 10:20,HTML,,,,,,,,3,0.3,3,1,10.0,… open-source hardware deserves closer attention. This study aims to elicit the motivations of open-source hardware … that combines exploratory and empirical research. The motivations of …,https://search.proquest.com/openview/18b29e763962ea8dda5b80b64f67c410/1?pq-origsite=gscholar&cbl=2026366&diss=y,https://scholar.google.com/scholar?q=related:pPSONGQ-2DMJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,understanding the motivations of open-soutce hardware developers: insights from the arduino community,
2,"N Turgeon, MTT Thai, G Epuran",OSH start-ups' business development challenges: The case of Sensorica from a total integrated marketing perspective,2014.0,Int. J. Econ. Pract. Theor,researchgate.net,https://www.researchgate.net/profile/Mai-Thai/publication/262638656_OSH's_Start-ups_Business_Development_Challenges_The_Case_of_SENSORICA_from_a_Total_Integrated_Marketing/links/53f572fd0cf2fceacc6f4608/OSHs-Start-ups-Business-Development-Challenges-The-Case-of-SENSORICA-from-a-Total-Integrated-Marketing.pdf,https://scholar.google.com/scholar?cites=10395643274928022029&as_sdt=2005&sciodt=2007&hl=en,190,8/22/24 10:20,PDF,,,,,,,,2,0.2,1,3,10.0,"… In this article, we first present the background literature of the core concepts: open-source hardware business, business development, and total integrated marketing. We then show the …",https://www.researchgate.net/profile/Mai-Thai/publication/262638656_OSH's_Start-ups_Business_Development_Challenges_The_Case_of_SENSORICA_from_a_Total_Integrated_Marketing/links/53f572fd0cf2fceacc6f4608/OSHs-Start-ups-Business-Development-Challenges-The-Case-of-SENSORICA-from-a-Total-Integrated-Marketing.pdf,https://scholar.google.com/scholar?q=related:DWLD5Xq-RJAJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,osh start-ups' business development challenges: the case of sensorica from a total integrated marketing perspective,
312,"Pingmei Xu, Krista A. Ehinger, Yinda Zhang, Adam Finkelstein, Sanjeev R. Kulkarni, Jianxiong Xiao",TurkerGaze: Crowdsourcing Saliency with Webcam based Eye Tracking,2015.0,,,,,561,8/22/24 15:04,,,,,,,,,312,34.67,52,6,9.0,"Traditional eye tracking requires specialized hardware, which means collecting gaze data from many observers is expensive, tedious and slow. Therefore, existing saliency prediction datasets are order-of-magnitudes smaller than typical datasets for other vision recognition tasks. The small size of these datasets limits the potential for training data intensive algorithms, and causes overfitting in benchmark evaluation. To address this deficiency, this paper introduces a webcam-based gaze tracking system that supports large-scale, crowdsourced eye tracking deployed on Amazon Mechanical Turk (AMTurk). By a combination of careful algorithm and gaming protocol design, our system obtains eye tracking data for saliency prediction comparable to data gathered in a traditional lab setting, with relatively lower cost and less effort on the part of the researchers. Using this tool, we build a saliency dataset for a large number of natural images. We will open-source our tool and provide a web server where researchers can upload their images to get eye tracking results from AMTurk.",,,turkergaze: crowdsourcing saliency with webcam based eye tracking,
