cites,authors,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,title_clean,doi_clean
61,"A Bonarini, M Matteucci, M Migliavacca, ...",R2P: An open source hardware and software modular approach to robot prototyping,2014.0,Robotics and Autonomous …,Elsevier,https://www.sciencedirect.com/science/article/pii/S092188901300153X,https://scholar.google.com/scholar?cites=17837932194987426211&as_sdt=2005&sciodt=2007&hl=en,50,8/22/24 10:20,HTML,,,,,,,,61,6.1,15,4,10.0,"… Open source hardware started to gain interest also as a business model, where earnings come from services and from selling ready to use products while being open source gives …",https://www.sciencedirect.com/science/article/pii/S092188901300153X,https://scholar.google.com/scholar?q=related:o8G6adIQjfcJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,r2p: an open source hardware and software modular approach to robot prototyping,
53,Joshua M. Pearce,Laboratory equipment: Cut costs with open-source hardware,2014.0,,,,,93,8/22/24 15:04,,10.1038/505618d,,,,,,,53,5.3,53,1,10.0,,,,laboratory equipment: cut costs with open-source hardware,10.1038/505618d
52,Joshua M. Pearce,Cut costs with open-source hardware,2014.0,Nature,Springer Science and Business Media LLC,http://dx.doi.org/10.1038/505618d,,85,8/22/24 15:14,journal-article,10.1038/505618d,0028-0836,,505.0,7485.0,618.0,618.0,52,5.2,52,1,10.0,,https://www.nature.com/articles/505618d.pdf,,cut costs with open-source hardware,10.1038/505618d
51,J. Pearce,Laboratory equipment: Cut costs with open-source hardware,2014.0,Nature,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84893384616&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84893384616&origin=inward,74,8/22/24 16:58,Letter,10.1038/505618d,0028-0836,https://api.elsevier.com/content/abstract/scopus_id/84893384616,505.0,7485.0,618.0,618.0,51,5.1,51,1,10.0,,,,laboratory equipment: cut costs with open-source hardware,10.1038/505618d
48,"Eric Tavares da Costa, Maria F. Mora, Peter A. Willis, Claudimir L. do Lago, Hong Jiao, Carlos D. Garcia",Getting started with open-hardware: Development and control of microfluidic devices,2014.0,Electrophoresis,Wiley,,,48,8/22/24 16:58,Article,10.1002/elps.201400128,0173-0835,,35.0,16.0,2370.0,2377.0,48,4.8,8,6,10.0,"Understanding basic concepts of electronics and computer programming allows researchers to get the most out of the equipment found in their laboratories. Although a number of platforms have been specifically designed for the general public and are supported by a vast array of on-line tutorials, this subject is not normally included in university chemistry curricula. Aiming to provide the basic concepts of hardware and software, this article is focused on the design and use of a simple module to control a series of PDMS-based valves. The module is based on a low-cost microprocessor (Teensy) and open-source software (Arduino). The microvalves were fabricated using thin sheets of PDMS and patterned using CO2 laser engraving, providing a simple and efficient way to fabricate devices without the traditional photolithographic process or facilities. Synchronization of valve control enabled the development of two simple devices to perform injection (1.6 +/- 0.4 mu L/stroke) and mixing of different solutions. Furthermore, a practical demonstration of the utility of this system for microscale chemical sample handling and analysis was achieved performing an on-chip acid-base titration, followed by conductivity detection with an open-source low-cost detection system. Overall, the system provided a very reproducible (98%) platform to perform fluid delivery at the microfluidic scale.",,,getting started with open-hardware: development and control of microfluidic devices,10.1002/elps.201400128
47,Joshua M. Pearce,Cut costs with open-source hardware,2014.0,Nature,Nature Publishing Group,,,49,8/22/24 16:58,Letter,,0028-0836,,505.0,7485.0,618.0,618.0,47,4.7,47,1,10.0,,,,cut costs with open-source hardware,
46,"B. Wijnen, G. Anzalone, Joshua M. Pearce",Open-source mobile water quality testing platform,2014.0,,,,,330,8/22/24 15:04,,10.2166/WASHDEV.2014.137,,,,,,,46,4.6,15,3,10.0,"The developing world remains plagued by lack of access to safe drinking water. Although many low-cost methods have been developed to treat contaminated water, low-cost methods for water-quality testing are necessary to determine if these appropriate technologies are needed, effective, and reliable. This paper provides a methodology for the design, development, and technical validation of a low-cost, open-source (OS) water testing platform. A case study is presented where the platform is developed to provide both the colorimetry for biochemical oxygen demand/chemical oxygen demand and nephelometry to measure turbidity using method ISO 7027. This approach resulted in equipment that is as accurate, but costs between 7.5 and 15 times less than current commercially available tools. It is concluded that OS hardware development is a promising solution for the equipment necessary to perform water quality measurements in both developed and developing regions.",,,open-source mobile water quality testing platform,10.2166/washdev.2014.137
42,E.T. da Costa,Getting started with open-hardware: Development and control of microfluidic devices,2014.0,Electrophoresis,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84905745783&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84905745783&origin=inward,103,8/22/24 16:58,Article,10.1002/elps.201400128,0173-0835,https://api.elsevier.com/content/abstract/scopus_id/84905745783,35.0,16.0,2370.0,2377.0,42,4.2,42,1,10.0,,,,getting started with open-hardware: development and control of microfluidic devices,10.1002/elps.201400128
42,"Andrea Bonarini, M. Matteucci, M. Migliavacca, D. Rizzi",R2P: An open source hardware and software modular approach to robot prototyping,2014.0,,,,,92,8/22/24 15:04,,10.1016/J.ROBOT.2013.08.009,,,,,,,42,4.2,11,4,10.0,,,,r2p: an open source hardware and software modular approach to robot prototyping,10.1016/j.robot.2013.08.009
38,B. Wijnen,Open-source mobile water quality testing platform,2014.0,Journal of Water Sanitation and Hygiene for Development,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907196548&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907196548&origin=inward,117,8/22/24 16:58,Article,10.2166/washdev.2014.137,2043-9083,https://api.elsevier.com/content/abstract/scopus_id/84907196548,4.0,3.0,532.0,537.0,38,3.8,38,1,10.0,,,,open-source mobile water quality testing platform,10.2166/washdev.2014.137
35,"Bas Wijnen, G. C. Anzalone, Joshua M. Pearce",Open-source mobile water quality testing platform,2014.0,Journal Of Water Sanitation And Hygiene For Development,Iwa Publishing,,,77,8/22/24 16:58,Article,10.2166/washdev.2014.137,2043-9083,,4.0,3.0,532.0,537.0,35,3.5,12,3,10.0,"The developing world remains plagued by lack of access to safe drinking water. Although many low-cost methods have been developed to treat contaminated water, low-cost methods for water-quality testing are necessary to determine if these appropriate technologies are needed, effective, and reliable. This paper provides a methodology for the design, development, and technical validation of a low-cost, open-source (OS) water testing platform. A case study is presented where the platform is developed to provide both the colorimetry for biochemical oxygen demand/chemical oxygen demand and nephelometry to measure turbidity using method ISO 7027. This approach resulted in equipment that is as accurate, but costs between 7.5 and 15 times less than current commercially available tools. It is concluded that OS hardware development is a promising solution for the equipment necessary to perform water quality measurements in both developed and developing regions.",,,open-source mobile water quality testing platform,10.2166/washdev.2014.137
33,A. Bonarini,R2P: An open source hardware and software modular approach to robot prototyping,2014.0,Robotics and Autonomous Systems,,https://api.elsevier.com/content/article/eid/1-s2.0-S092188901300153X,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84901232051&origin=inward,133,8/22/24 16:58,Article,10.1016/j.robot.2013.08.009,0921-8890,https://api.elsevier.com/content/abstract/scopus_id/84901232051,62.0,7.0,1073.0,1084.0,33,3.3,33,1,10.0,,,,r2p: an open source hardware and software modular approach to robot prototyping,10.1016/j.robot.2013.08.009
25,R. Gandhiraj,Modern analog and digital communication systems development using GNU Radio with USRP,2014.0,Telecommunication Systems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84904047101&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84904047101&origin=inward,186,8/22/24 16:58,Article,10.1007/s11235-013-9850-7,1018-4864,https://api.elsevier.com/content/abstract/scopus_id/84904047101,56.0,3.0,367.0,381.0,25,2.5,25,1,10.0,,,,modern analog and digital communication systems development using gnu radio with usrp,10.1007/s11235-013-9850-7
22,"Andrea Bonarini, Matteo Matteucci, Martino Migliavacca, Davide Rizzi",R2P: An open source hardware and software modular approach to robot prototyping,2014.0,Robotics and Autonomous Systems,Elsevier BV,http://dx.doi.org/10.1016/j.robot.2013.08.009,,464,8/22/24 15:14,journal-article,10.1016/j.robot.2013.08.009,0921-8890,,62.0,7.0,1073.0,1084.0,22,2.2,6,4,10.0,,https://api.elsevier.com/content/article/PII:S092188901300153X,,r2p: an open source hardware and software modular approach to robot prototyping,10.1016/j.robot.2013.08.009
21,"R. Gandhiraj, K. P. Soman",Modern analog and digital communication systems development using GNU Radio with USRP,2014.0,Telecommunication Systems,Springer,,,130,8/22/24 16:58,Article,10.1007/s11235-013-9850-7,1018-4864,,56.0,3.0,367.0,381.0,21,2.1,11,2,10.0,In this modern world many communication devices are highly intelligent and interconnected between each other. Any up-gradation of the hardware in the existing communication devices is not easier one. Compatibility of the new hardware with existing hardware is highly essential. But the new protocols may or may not support the older one. The solution for these problems can be provided by using the reconfigurable hardware design. The hardware can be reprogrammed according to the new change in technology up-gradation. The cost of commercially available hardware and software requirements for setting up such a module is very high. This can be solved by using Open source hardware and software such as Universal Software Radio Peripheral (USRP) and GNU Radio. This work demonstrates how the modern analog communication system like Community Radio Schemes and Radio Data System (RDS) and digital communication systems such as Simple Digital Video Broadcasting (DVB) and OFDM based data communication can be developed using the Open source hardware USRP1. This work will be helpful even for first year level of engineering students to easily implement any communication and control applications with cheaper cost.,,,modern analog and digital communication systems development using gnu radio with usrp,10.1007/s11235-013-9850-7
21,"Marco Forconesi, G. Sutter, S. López-Buedo, J. D. Vergara, J. Aracil",Bridging the gap between hardware and software open source network developments,2014.0,,,,,166,8/22/24 15:04,,10.1109/MNET.2014.6915434,,,,,,,21,2.1,4,5,10.0,"The rise of network speeds to tens of gigabits per second poses a challenge to develop packet processing applications that can cope with such bit rates. Therefore, the need for a suitable open source system that can be used as a prototype platform to test new network functionality while ensuring line-rate processing, accurate timestamping, and reduced power consumption has become evident. All these requirements cannot be achieved by using software-only solutions, but rather with hardware-based platforms such as NetFPGA. The main obstacle when using this type of open source FPGA-based solution is the cost of development, in both time and hardware development skills required. The spread of new circuit synthesis tools using high-level languages opens the door for the development of hardware-based networking applications with reasonable development effort, compared to the use of traditional hardware description languages. In this article, we describe how existing open source hardware-based platforms for networking applications will be fueled by the change in the programming model of FPGAs provided by modern high-level synthesis tools. For this, we implemented a network flow monitor using high-level languages and compared the effort spent with respect to a traditional hardware development cycle. Preliminary results are very promising, given that development time is reduced from months to weeks.",,,bridging the gap between hardware and software open source network developments,10.1109/mnet.2014.6915434
21,"Andrea Bonarini, Matteo Matteucci, Martino Migliavacca, Davide Rizzi",R2P: An open source hardware and software modular approach to robot prototyping,2014.0,Robotics And Autonomous Systems,Elsevier,,,131,8/22/24 16:58,Article,10.1016/j.robot.2013.08.009,0921-8890,,62.0,7.0,1073.0,1084.0,21,2.1,5,4,10.0,"Rapid prototyping is a key aspect for the development of innovative robotic applications. A modular, platform-based, approach is the way to obtain this result. Modular approaches are common for software development, but hardware is still crafted often re-inventing solutions every time. As a consequence, the resources that should be invested in the development of a new robot get often drained by the implementation of a physical, working prototype to test the application idea. To overcome this problem, we propose R2P (Rapid Robot Prototyping), a framework to implement real-time, high-quality architectures for robotic systems with off-the-shelf basic modules (e.g., sensors, actuators, and controllers), integrating hardware and software, which can be assembled in a plug-and-play way. R2P provides hardware modules, a protocol for real-time communication, a middleware to connect components as well as tools to support the development of software on the modules. R2P aims at dramatically reduce time and efforts required to build a prototype robot, making it possible to focus the resources on the development of new robotic applications instead of struggling on their implementation. This enables also people with experience in a specific application domain, but with little technical background, to actively participate in the development of new robotic applications. R2P is open-source both in its software and hardware to promote its diffusion among the robotics community and novel business models that will substantially reduce the costs to design a new robotic product. (C) 2013 Elsevier B.V. All rights reserved.",,,r2p: an open source hardware and software modular approach to robot prototyping,10.1016/j.robot.2013.08.009
19,Joshua M. Pearce,Introduction to Open-Source Hardware for Science,2014.0,,,,,103,8/22/24 15:04,,10.1016/B978-0-12-410462-4.00001-9,,,,,,,19,1.9,19,1,10.0,,,,introduction to open-source hardware for science,10.1016/b978-0-12-410462-4.00001-9
18,"Marco Forconesi, Gustavo Sutter, Sergio Lopez-Buedo, Jorge E. Lopez de Vergara, Javier Aracil",Bridging the gap between hardware and software open source network developments,2014.0,IEEE Network,Institute of Electrical and Electronics Engineers (IEEE),http://dx.doi.org/10.1109/mnet.2014.6915434,,430,8/22/24 15:14,journal-article,10.1109/mnet.2014.6915434,0890-8044,,28.0,5.0,13.0,19.0,18,1.8,4,5,10.0,,http://xplorestaging.ieee.org/ielx7/65/6915428/06915434.pdf?arnumber=6915434,,bridging the gap between hardware and software open source network developments,10.1109/mnet.2014.6915434
17,"M. Hopkins, Alexander Michael Kibbe",Open-Source Hardware in Controls Education,2014.0,,,,,91,8/22/24 15:04,,10.18260/1-2--22888,,,,,,,17,1.7,9,2,10.0,"In teaching undergraduate automatic controls, the laboratory experience is an important and irreplaceable component. Historically, good platforms for a controls laboratory have been expensive, because the equipment has typically been very specialized for educational purposes. Moreover, the equipment often is not physically robust in the face of student manhandling, creating major difficulties and costs in maintaining such a lab. The advent of inexpensive open-source controller hardware is revolutionizing this situation because it is now possible to have good controls-hardware capability at relatively low cost. The Arduino Mega 2560, in particular, is supported by Matlab, Simulink and LabView, and thus provides a great deal of flexibility in developing laboratory procedures for students to study controls. The Arduino is an open-source electronics prototyping platform based on flexible, easy-to-use hardware and software. The “motor shield” is an add-on (daughterboard) to the Arduino that further enables control of dc motors. This paper explains a method and hardware to connect an Arduino to a separately-powered dc-motor unit. Matlab and Simulink provide full support of the Arduino board for feedback-controller design. The Arduino board is powered by, and communicates with Simulink, through a standard USB connection. Keywords — computers in education, controls education, controls laboratory, laboratory hardware, Arduino board, dc motor, motor control, motor control hardware.",,,open-source hardware in controls education,10.18260/1-2--22888
17,"J West, G Kuk",Proprietary benefits from open communities: how makerBot Leveraged Thingiverse in 3D Printing,2014.0,Available at SSRN 2544970,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2544970,https://scholar.google.com/scholar?cites=4738779597964551265&as_sdt=2005&sciodt=2007&hl=en,96,8/22/24 10:20,,,,,,,,,17,1.7,9,2,10.0,"… by open hardware. Here we study 3D printing, and how MakerBot Industries leveraged open hardware … user communities, open hardware design and partly open platform strategies. …",,https://scholar.google.com/scholar?q=related:YaSL7e-Gw0EJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,proprietary benefits from open communities: how makerbot leveraged thingiverse in 3d printing,
16,Joshua M. Pearce,Introduction to Open-Source Hardware for Science,2014.0,Open-Source Lab,Elsevier,http://dx.doi.org/10.1016/b978-0-12-410462-4.00001-9,,4,8/22/24 15:14,book-chapter,10.1016/b978-0-12-410462-4.00001-9,,,,,1.0,11.0,16,1.6,16,1,10.0,,,,introduction to open-source hardware for science,10.1016/b978-0-12-410462-4.00001-9
14,"Marco Forconesi, Gustavo Sutter, Sergio Lopez-Buedo, Jorge E. Lopez de Vergara, Javier Aracil",Bridging the Gap between Hardware and Software Open Source Network Developments,2014.0,Ieee Network,Ieee-Inst Electrical Electronics Engineers Inc,,,214,8/22/24 16:58,Article,,0890-8044,,28.0,5.0,13.0,19.0,14,1.4,3,5,10.0,"The rise of network speeds to tens of gigabits per second poses a challenge to develop packet processing applications that can cope with such bit rates. Therefore, the need for a suitable open source system that can be used as a prototype platform to test new network functionality while ensuring line-rate processing, accurate timestamping, and reduced power consumption has become evident. All these requirements cannot be achieved by using software-only solutions, but rather with hardware-based platforms such as NetFPGA. The main obstacle when using this type of open source FPGA-based solution is the cost of development, in both time and hardware development skills required. The spread of new circuit synthesis tools using high-level languages opens the door for the development of hardware-based networking applications with reasonable development effort, compared to the use of traditional hardware description languages. In this article, we describe how existing open source hardware-based platforms for networking applications will be fueled by the change in the programming model of FPGAs provided by modern high-level synthesis tools. For this, we implemented a network flow monitor using high-level languages and compared the effort spent with respect to a traditional hardware development cycle. Preliminary results are very promising, given that development time is reduced from months to weeks.",,,bridging the gap between hardware and software open source network developments,
14,"J. West, George Kuk",Proprietary Benefits from Open Communities: How MakerBot Leveraged Thingiverse in 3D Printing,2014.0,,,,,562,8/22/24 15:04,,10.5465/AMBPP.2014.11868ABSTRACT,,,,,,,14,1.4,7,2,10.0,"Our understanding of open source models of innovation is primarily based on research on open source software. This research focuses on the underlying challenges in developing a user-based community as a complementary asset, and at the same time strengthening appropriability regimes without losing control over the technologies that are fundamental to their business success. Yet less is known about new start-ups driven by open hardware. Here we study 3D printing, and how MakerBot Industries leveraged open hardware and content to become a multimillion dollar firm based on selling closed source hardware, while nurturing its open online content community. Using a longitudinal case study design, we identify three distinct phases in how MakerBot created and nurtured the Thingiverse community as a free resource of user-created digital designs that could be printed as physical goods through its physical printers, both creating value for the community and demand for its products. We analyze MakerBot’s ability to win community acceptance for its increasingly proprietary strategy, and offer broader implications for managing user communities, open hardware design and partly open platform strategies.",,,proprietary benefits from open communities: how makerbot leveraged thingiverse in 3d printing,10.5465/ambpp.2014.11868abstract
12,"Q Guo, T Chen, Y Chen, R Wang, ...",Pre-silicon bug forecast,2014.0,… on Computer-Aided …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6740024/,https://scholar.google.com/scholar?cites=16277875802252451714&as_sdt=2005&sciodt=2007&hl=en,314,8/22/24 10:20,,,,,,,,,12,1.2,2,5,10.0,"… , we conducted detailed experiments on several open-source hardware projects. Moreover, we … Empirical Evaluation In this section, we evaluate the effectiveness of the presilicon bug …",https://ieeexplore.ieee.org/iel7/43/6740003/06740024.pdf,https://scholar.google.com/scholar?q=related:gh8vW8yh5uEJ:scholar.google.com/&scioq=%22open+source+hardware%22%7C%22open+source+hardware%22%7C%22open+hardware%22+%22empirical%22&hl=en&as_sdt=2007,pre-silicon bug forecast,
12,"Francisco J. Parada, Dean Wyatte, Chen Yu, R. Akavipat, Brandi Emerick, T. Busey","ExpertEyes: Open-source, high-definition eyetracking",2014.0,,,,,342,8/22/24 15:04,,10.3758/s13428-014-0465-z,,,,,,,12,1.2,2,6,10.0,,,,"experteyes: open-source, high-definition eyetracking",10.3758/s13428-014-0465-z
11,"Harris Kyriakou, J. Nickerson",Collective Innovation in Open Source Hardware,2014.0,,,,,106,8/22/24 15:04,,10.2139/ssrn.2421332,,,,,,,11,1.1,6,2,10.0,"A growing community that shares digital 3D designs has created an opportunity to study, encourage and stimulate innovation. This remix community allows people not only to prototype at a minimal cost but also to work on projects they are genuinely interested in (Acosta 2009; Dougherty 2012). Participants free of the limitations typically imposed by formal organizations develop products driven by their own interest.",,,collective innovation in open source hardware,10.2139/ssrn.2421332
6,"R. Luff, M. Zahringer, W. Harms, M. Bleher, B. Prommer, U. Stohlker",Open-source hardware and software and web application for gamma dose rate network operation,2014.0,Radiation Protection Dosimetry,Oxford University Press (OUP),http://dx.doi.org/10.1093/rpd/ncu012,,547,8/22/24 15:14,journal-article,10.1093/rpd/ncu012,0144-8420,,160.0,4.0,252.0,258.0,6,0.6,1,6,10.0,,http://academic.oup.com/rpd/article-pdf/160/4/252/4525366/ncu012.pdf,,open-source hardware and software and web application for gamma dose rate network operation,10.1093/rpd/ncu012
