Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
82,"G. Bitella","A novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters",2014,"Sensors (Switzerland)","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84908537939&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908537939&origin=inward",1,"2024-08-22 16:59:55","Article","10.3390/s141019639","1424-8220","https://api.elsevier.com/content/abstract/scopus_id/84908537939",14,10,19639,19659,82,8.20,82,1,10,"","",""
1,"G. Rosenbaum","Empirical study of traffic trunking in Linux-based MPLS test-bed",2003,"International Journal of Network Management","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0042880846&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0042880846&origin=inward",16,"2024-08-22 16:59:55","Article","10.1002/nem.483","1055-7148","https://api.elsevier.com/content/abstract/scopus_id/0042880846",13,4,277,288,1,0.05,1,1,21,"","",""
0,"H. Cha","Development and Deployment of ICT DIY Standards in Support of Internet of Things: A Qualitative Approach",2017,"Proceedings - 18th IEEE International Conference on High Performance Computing and Communications, 14th IEEE International Conference on Smart City and 2nd IEEE International Conference on Data Science and Systems, HPCC/SmartCity/DSS 2016","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85013650268&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85013650268&origin=inward",22,"2024-08-22 16:59:55","Conference Paper","10.1109/HPCC-SmartCity-DSS.2016.0116","","https://api.elsevier.com/content/abstract/scopus_id/85013650268",,,805,810,0,0.00,0,1,7,"","",""
22,"J. Bonvoisin","How participative is open source hardware? Insights from online repository mining",2018,"Design Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058060903&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058060903&origin=inward",5,"2024-08-22 16:59:55","Article","10.1017/dsj.2018.15","2053-4701","https://api.elsevier.com/content/abstract/scopus_id/85058060903",4,,,,22,3.67,22,1,6,"","",""
0,"J.P. Ferdinand","Field-level dynamics and the gradual disruption of the 3D printing community",2018,"Contributions to Management Science","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064900660&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064900660&origin=inward",21,"2024-08-22 16:59:55","Book Chapter","10.1007/978-3-319-66842-0_6","1431-1941","https://api.elsevier.com/content/abstract/scopus_id/85064900660",,,133,147,0,0.00,0,1,6,"","",""
3,"M.H. Rahman","An empirical approach to autonomous GSM BTS based on OSS and OSH",2017,"2016 3rd International Conference on Electrical Engineering and Information and Communication Technology, iCEEiCT 2016","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85016929276&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85016929276&origin=inward",12,"2024-08-22 16:59:55","Conference Paper","10.1109/CEEICT.2016.7873138","","https://api.elsevier.com/content/abstract/scopus_id/85016929276",,,,,3,0.43,3,1,7,"","",""
24,"R. Barber","Control practices using simulink with arduino as low cost hardware",2013,"IFAC Proceedings Volumes (IFAC-PapersOnline)","","https://api.elsevier.com/content/article/eid/1-s2.0-S1474667015341136","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885236557&origin=inward",3,"2024-08-22 16:59:55","Conference Paper","10.3182/20130828-3-UK-2039.00061","1474-6670","https://api.elsevier.com/content/abstract/scopus_id/84885236557",10,,250,255,24,2.18,24,1,11,"","",""
29,"S. Nascimento","Maker Cultures and the Prospects for Technological Action",2018,"Science and Engineering Ethics","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978129531&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978129531&origin=inward",2,"2024-08-22 16:59:55","Article","10.1007/s11948-016-9796-8","1353-3452","https://api.elsevier.com/content/abstract/scopus_id/84978129531",24,3,927,946,29,4.83,29,1,6,"","",""
1,"S.D. Kotuła","Implementation of 3D printing in an open-source solution in an academic library",2023,"Journal of Academic Librarianship","","https://api.elsevier.com/content/article/eid/1-s2.0-S0099133323001076","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85169512496&origin=inward",14,"2024-08-22 16:59:55","Article","10.1016/j.acalib.2023.102768","0099-1333","https://api.elsevier.com/content/abstract/scopus_id/85169512496",49,5,,,1,1.00,1,1,1,"","",""
7,"T. Reinauer","Determinants of adoption in open-source hardware: A review of small wind turbines",2021,"Technovation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0166497221000705","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104976674&origin=inward",9,"2024-08-22 16:59:55","Article","10.1016/j.technovation.2021.102289","0166-4972","https://api.elsevier.com/content/abstract/scopus_id/85104976674",106,,,,7,2.33,7,1,3,"","",""
7,"V.R. Cota","Open-source hardware as a model of technological innovation and academic entrepreneurship: The Brazilian landscape",2020,"Innovation and Management Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100433892&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100433892&origin=inward",10,"2024-08-22 16:59:55","Article","10.1108/INMR-06-2018-0036","2515-8961","https://api.elsevier.com/content/abstract/scopus_id/85100433892",17,2,177,195,7,1.75,7,1,4,"","",""
1,"X. Dai","Correlation between process openness and collaboration tool usage in open source hardware design: an empirical study",2020,"International Journal on Interactive Design and Manufacturing","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076222438&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076222438&origin=inward",15,"2024-08-22 16:59:55","Article","10.1007/s12008-019-00632-0","1955-2513","https://api.elsevier.com/content/abstract/scopus_id/85076222438",14,2,481,489,1,0.25,1,1,4,"","",""
20,"Y. Bakırlıoğlu","Framing Open Design through Theoretical Concepts and Practical Applications: A Systematic Literature Review",2019,"Human-Computer Interaction","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062349521&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062349521&origin=inward",7,"2024-08-22 16:59:55","Article","10.1080/07370024.2019.1574225","0737-0024","https://api.elsevier.com/content/abstract/scopus_id/85062349521",34,5,389,432,20,4.00,20,1,5,"","",""
